seed,param,cos_A_pre,cos_B_pre,cos_A_B,relL2_A_pre
0,transformer.layers.5.self_attn.out_proj.weight,0.3777,-0.0011,-0.0045,1.4539
0,transformer.layers.5.self_attn.out_proj.bias,0.3509,0.0734,-0.0592,1.4635
0,transformer.layers.5.linear1.weight,0.4010,0.0054,0.0031,1.3022
0,transformer.layers.5.linear1.bias,0.7527,0.4082,0.4626,0.6655
0,transformer.layers.5.linear2.weight,0.2725,-0.0022,-0.0028,1.6015
0,transformer.layers.5.linear2.bias,0.5619,0.0275,0.0301,0.9939
0,transformer.layers.5.norm1.weight,0.9775,0.9676,0.9862,0.2591
0,transformer.layers.5.norm1.bias,0.5854,0.1174,0.0716,0.8851
0,transformer.layers.5.norm2.weight,0.9377,0.9197,0.9515,0.5687
0,transformer.layers.5.norm2.bias,0.7509,0.0191,0.0239,0.7267
0,final_norm.weight,0.5359,0.6525,0.4252,3.1381
0,final_norm.bias,0.5863,-0.0543,-0.1257,0.8410
1,transformer.layers.0.self_attn.in_proj_weight,0.2952,0.0000,-0.0012,1.8885
1,transformer.layers.0.self_attn.in_proj_bias,0.3040,0.1026,-0.0376,2.8694
1,transformer.layers.0.self_attn.out_proj.weight,0.2835,0.0034,0.0064,2.1444
1,transformer.layers.0.self_attn.out_proj.bias,0.3268,-0.0334,-0.0659,1.4926
1,transformer.layers.0.linear1.weight,0.6354,0.0044,0.0004,0.7727
1,transformer.layers.0.linear1.bias,0.7811,0.4532,0.2920,0.8055
1,transformer.layers.0.linear2.weight,0.2434,-0.0030,0.0032,1.8567
1,transformer.layers.0.linear2.bias,0.1416,0.0294,-0.0052,2.6168
1,transformer.layers.0.norm1.weight,0.9157,0.9366,0.9156,0.6347
1,transformer.layers.0.norm1.bias,0.8954,0.0226,0.0550,0.4486
1,transformer.layers.0.norm2.weight,0.9492,0.9148,0.9000,0.4851
1,transformer.layers.0.norm2.bias,0.5165,-0.0975,-0.0598,0.9137
1,transformer.layers.1.self_attn.in_proj_weight,0.3715,0.0020,-0.0043,1.4571
1,transformer.layers.1.self_attn.in_proj_bias,0.4250,-0.0140,0.0083,2.4299
1,transformer.layers.1.self_attn.out_proj.weight,0.3427,0.0088,0.0004,1.7397
1,transformer.layers.1.self_attn.out_proj.bias,0.5848,-0.0551,-0.0716,0.8215
1,transformer.layers.1.linear1.weight,0.5908,0.0042,0.0046,0.8731
1,transformer.layers.1.linear1.bias,0.8138,0.6234,0.5607,0.6323
1,transformer.layers.1.linear2.weight,0.3116,-0.0026,0.0040,1.5389
1,transformer.layers.1.linear2.bias,0.2775,0.0567,-0.0437,1.6980
1,transformer.layers.1.norm1.weight,0.8996,0.8990,0.8833,0.8901
1,transformer.layers.1.norm1.bias,0.8824,-0.0969,-0.1286,0.5276
1,transformer.layers.1.norm2.weight,0.9580,0.9135,0.9351,0.3280
1,transformer.layers.1.norm2.bias,0.9337,-0.0677,-0.0605,0.6113
1,transformer.layers.2.self_attn.in_proj_weight,0.3621,0.0027,-0.0024,1.4655
1,transformer.layers.2.self_attn.in_proj_bias,0.2621,0.0182,-0.0033,1.2908
1,transformer.layers.2.self_attn.out_proj.weight,0.3874,0.0037,-0.0006,1.5813
1,transformer.layers.2.self_attn.out_proj.bias,0.6193,-0.0456,-0.0416,0.8456
1,transformer.layers.2.linear1.weight,0.5521,0.0056,0.0066,0.9878
1,transformer.layers.2.linear1.bias,0.8009,0.6590,0.6374,0.5994
1,transformer.layers.2.linear2.weight,0.3295,0.0005,-0.0002,1.4681
1,transformer.layers.2.linear2.bias,0.3693,0.1210,-0.0018,1.5248
1,transformer.layers.2.norm1.weight,0.9363,0.9296,0.9735,0.5701
1,transformer.layers.2.norm1.bias,0.7885,0.0646,0.0630,0.6154
1,transformer.layers.2.norm2.weight,0.9571,0.9309,0.9496,0.2903
1,transformer.layers.2.norm2.bias,0.9050,-0.0514,-0.0336,0.4859
1,transformer.layers.3.self_attn.in_proj_weight,0.3785,0.0013,0.0016,1.3328
1,transformer.layers.3.self_attn.in_proj_bias,0.4403,0.0124,-0.0324,1.0226
1,transformer.layers.3.self_attn.out_proj.weight,0.4122,0.0057,0.0046,1.4142
1,transformer.layers.3.self_attn.out_proj.bias,0.5812,-0.0421,0.0076,0.9543
1,transformer.layers.3.linear1.weight,0.5692,0.0014,0.0056,1.0056
1,transformer.layers.3.linear1.bias,0.8410,0.6131,0.6316,0.5452
1,transformer.layers.3.linear2.weight,0.4055,0.0028,0.0030,1.2995
1,transformer.layers.3.linear2.bias,0.4177,-0.0095,-0.0324,1.1551
1,transformer.layers.3.norm1.weight,0.9388,0.9405,0.9693,0.5018
1,transformer.layers.3.norm1.bias,0.5380,0.0499,0.0404,0.8608
1,transformer.layers.3.norm2.weight,0.9460,0.9136,0.9537,0.3254
1,transformer.layers.3.norm2.bias,0.8521,0.0261,0.0219,0.5272
1,transformer.layers.4.self_attn.in_proj_weight,0.4886,0.0021,0.0023,1.0466
1,transformer.layers.4.self_attn.in_proj_bias,0.3246,0.0294,-0.0440,1.1287
1,transformer.layers.4.self_attn.out_proj.weight,0.3494,0.0022,0.0076,1.5603
1,transformer.layers.4.self_attn.out_proj.bias,0.6994,-0.1203,-0.0326,0.7154
1,transformer.layers.4.linear1.weight,0.5235,0.0083,0.0093,1.0539
1,transformer.layers.4.linear1.bias,0.7915,0.7713,0.7417,0.6458
1,transformer.layers.4.linear2.weight,0.4075,-0.0044,-0.0031,1.2961
1,transformer.layers.4.linear2.bias,0.3715,0.0045,0.0602,1.6582
1,transformer.layers.4.norm1.weight,0.9753,0.9720,0.9835,0.2678
1,transformer.layers.4.norm1.bias,0.6853,-0.0083,-0.0764,0.7510
1,transformer.layers.4.norm2.weight,0.9465,0.8899,0.9413,0.3261
1,transformer.layers.4.norm2.bias,0.8967,0.0567,0.0374,0.4431
1,transformer.layers.5.self_attn.in_proj_weight,0.4727,0.0004,0.0006,1.0625
1,transformer.layers.5.self_attn.in_proj_bias,0.2560,-0.0105,-0.0810,1.6921
1,transformer.layers.5.self_attn.out_proj.weight,0.3736,0.0048,-0.0004,1.3363
1,transformer.layers.5.self_attn.out_proj.bias,0.3445,-0.0481,0.0801,1.3642
1,transformer.layers.5.linear1.weight,0.4253,0.0057,-0.0009,1.2784
1,transformer.layers.5.linear1.bias,0.7962,0.3915,0.4073,0.6065
1,transformer.layers.5.linear2.weight,0.2767,-0.0013,-0.0006,1.5977
1,transformer.layers.5.linear2.bias,0.5338,0.0201,-0.0086,1.1538
1,transformer.layers.5.norm1.weight,0.9795,0.9686,0.9821,0.2309
1,transformer.layers.5.norm1.bias,0.4151,0.0601,0.0793,1.2854
1,transformer.layers.5.norm2.weight,0.9481,0.9213,0.9557,0.4442
1,transformer.layers.5.norm2.bias,0.8191,-0.0150,-0.0041,0.5868
1,final_norm.weight,0.5492,0.6404,0.5300,3.0919
1,final_norm.bias,0.5585,0.0554,0.0654,0.8681
2,transformer.layers.0.self_attn.in_proj_weight,0.2990,0.0048,0.0042,1.9445
2,transformer.layers.0.self_attn.in_proj_bias,0.2223,0.0823,0.0262,2.7973
2,transformer.layers.0.self_attn.out_proj.weight,0.2606,0.0007,-0.0001,2.1723
2,transformer.layers.0.self_attn.out_proj.bias,0.3027,0.1315,0.0838,1.6304
2,transformer.layers.0.linear1.weight,0.5870,0.0053,0.0027,0.8429
2,transformer.layers.0.linear1.bias,0.7360,0.5355,0.4323,0.7226
2,transformer.layers.0.linear2.weight,0.2140,-0.0013,0.0024,1.9366
2,transformer.layers.0.linear2.bias,0.1330,-0.0741,0.0019,2.2407
2,transformer.layers.0.norm1.weight,0.9294,0.9347,0.9306,0.6949
2,transformer.layers.0.norm1.bias,0.8912,0.0664,0.0689,0.4577
2,transformer.layers.0.norm2.weight,0.9465,0.9253,0.9101,0.3935
2,transformer.layers.0.norm2.bias,0.7829,-0.0378,0.0597,0.7854
2,transformer.layers.1.self_attn.in_proj_weight,0.3456,-0.0003,0.0007,1.5191
2,transformer.layers.1.self_attn.in_proj_bias,0.3165,-0.0200,-0.0872,2.4649
2,transformer.layers.1.self_attn.out_proj.weight,0.3229,-0.0013,0.0013,1.6918
2,transformer.layers.1.self_attn.out_proj.bias,0.5572,-0.0676,-0.0318,0.8734
2,transformer.layers.1.linear1.weight,0.5825,-0.0015,-0.0019,0.9084
2,transformer.layers.1.linear1.bias,0.7663,0.6594,0.6076,0.6514
2,transformer.layers.1.linear2.weight,0.2869,-0.0014,-0.0019,1.5928
2,transformer.layers.1.linear2.bias,0.2849,-0.0750,0.0483,1.6706
2,transformer.layers.1.norm1.weight,0.9125,0.9010,0.9239,0.9075
2,transformer.layers.1.norm1.bias,0.8146,-0.0570,0.0173,0.5803
2,transformer.layers.1.norm2.weight,0.9632,0.9149,0.9462,0.2977
2,transformer.layers.1.norm2.bias,0.9169,-0.0462,-0.0581,0.5625
2,transformer.layers.2.self_attn.in_proj_weight,0.3506,-0.0008,0.0012,1.4616
2,transformer.layers.2.self_attn.in_proj_bias,0.1181,-0.0458,0.0801,1.3873
2,transformer.layers.2.self_attn.out_proj.weight,0.3738,0.0003,-0.0055,1.5485
2,transformer.layers.2.self_attn.out_proj.bias,0.3843,-0.0643,-0.0201,1.1040
2,transformer.layers.2.linear1.weight,0.5531,-0.0002,-0.0014,0.9996
2,transformer.layers.2.linear1.bias,0.6967,0.6648,0.5733,0.7537
2,transformer.layers.2.linear2.weight,0.3230,0.0026,0.0010,1.4593
2,transformer.layers.2.linear2.bias,0.3092,-0.0386,0.0936,1.5691
2,transformer.layers.2.norm1.weight,0.9443,0.9313,0.9687,0.4387
2,transformer.layers.2.norm1.bias,0.6183,0.1328,0.0970,0.7868
2,transformer.layers.2.norm2.weight,0.9611,0.9343,0.9573,0.2813
2,transformer.layers.2.norm2.bias,0.8845,0.0158,0.0037,0.4828
2,transformer.layers.3.self_attn.in_proj_weight,0.3976,-0.0013,0.0008,1.2533
2,transformer.layers.3.self_attn.in_proj_bias,0.5908,0.0315,0.0394,0.9100
2,transformer.layers.3.self_attn.out_proj.weight,0.4264,0.0024,0.0026,1.3221
2,transformer.layers.3.self_attn.out_proj.bias,0.5302,-0.1256,-0.0218,0.9702
2,transformer.layers.3.linear1.weight,0.5451,-0.0016,-0.0056,1.0610
2,transformer.layers.3.linear1.bias,0.7762,0.6400,0.6334,0.6822
2,transformer.layers.3.linear2.weight,0.3718,-0.0008,0.0032,1.4056
2,transformer.layers.3.linear2.bias,0.2372,-0.0473,0.0107,1.4075
2,transformer.layers.3.norm1.weight,0.9546,0.9388,0.9701,0.3392
2,transformer.layers.3.norm1.bias,0.7281,-0.0114,-0.0881,0.6855
2,transformer.layers.3.norm2.weight,0.9545,0.9091,0.9541,0.3191
2,transformer.layers.3.norm2.bias,0.8445,0.0122,-0.0352,0.5594
2,transformer.layers.4.self_attn.in_proj_weight,0.4733,-0.0018,-0.0008,1.0463
2,transformer.layers.4.self_attn.in_proj_bias,0.3200,0.0455,0.0673,1.1654
2,transformer.layers.4.self_attn.out_proj.weight,0.3675,0.0031,0.0022,1.4863
2,transformer.layers.4.self_attn.out_proj.bias,0.7489,0.0741,0.0711,0.6656
2,transformer.layers.4.linear1.weight,0.5264,-0.0003,-0.0043,1.0505
2,transformer.layers.4.linear1.bias,0.8390,0.7669,0.7573,0.5561
2,transformer.layers.4.linear2.weight,0.3645,-0.0012,-0.0007,1.3643
2,transformer.layers.4.linear2.bias,0.4355,0.0473,-0.0101,1.7480
2,transformer.layers.4.norm1.weight,0.9779,0.9681,0.9800,0.2678
2,transformer.layers.4.norm1.bias,0.6211,0.0218,0.0318,0.8437
2,transformer.layers.4.norm2.weight,0.9550,0.8930,0.9382,0.2967
2,transformer.layers.4.norm2.bias,0.9223,-0.0285,-0.0312,0.3916
2,transformer.layers.5.self_attn.in_proj_weight,0.4471,-0.0024,-0.0010,1.1011
2,transformer.layers.5.self_attn.in_proj_bias,0.2329,-0.0357,-0.0051,2.0831
2,transformer.layers.5.self_attn.out_proj.weight,0.3839,0.0015,-0.0019,1.4217
2,transformer.layers.5.self_attn.out_proj.bias,0.2356,0.0380,0.0330,1.4634
2,transformer.layers.5.linear1.weight,0.4376,0.0048,0.0058,1.2298
2,transformer.layers.5.linear1.bias,0.6838,0.4241,0.4479,0.7448
2,transformer.layers.5.linear2.weight,0.3018,-0.0001,-0.0023,1.4959
2,transformer.layers.5.linear2.bias,0.6448,0.1148,0.0515,0.8976
2,transformer.layers.5.norm1.weight,0.9798,0.9699,0.9835,0.2398
2,transformer.layers.5.norm1.bias,0.5135,0.0245,-0.0153,1.2923
2,transformer.layers.5.norm2.weight,0.9438,0.9240,0.9557,0.4022
2,transformer.layers.5.norm2.bias,0.7687,-0.0126,-0.0010,0.6401
2,final_norm.weight,0.5373,0.6533,0.5150,3.1172
2,final_norm.bias,0.5690,0.0304,0.0682,0.8505
3,transformer.layers.0.self_attn.in_proj_weight,0.2755,0.0049,-0.0012,1.9754
3,transformer.layers.0.self_attn.in_proj_bias,0.1641,0.0518,0.0024,2.8834
3,transformer.layers.0.self_attn.out_proj.weight,0.2775,0.0038,-0.0018,2.2219
3,transformer.layers.0.self_attn.out_proj.bias,0.2155,0.0682,0.0241,1.4862
3,transformer.layers.0.linear1.weight,0.6275,0.0006,0.0035,0.8954
3,transformer.layers.0.linear1.bias,0.8183,0.4841,0.3911,0.6344
3,transformer.layers.0.linear2.weight,0.2606,-0.0014,0.0028,1.7340
3,transformer.layers.0.linear2.bias,0.2009,0.0744,-0.0004,1.7528
3,transformer.layers.0.norm1.weight,0.9196,0.9380,0.9240,0.7278
3,transformer.layers.0.norm1.bias,0.8753,-0.0109,0.0091,0.4866
3,transformer.layers.0.norm2.weight,0.9498,0.9161,0.9148,0.3237
3,transformer.layers.0.norm2.bias,0.9491,-0.0362,-0.0678,0.3170
3,transformer.layers.1.self_attn.in_proj_weight,0.3392,0.0024,0.0031,1.4750
3,transformer.layers.1.self_attn.in_proj_bias,0.3641,-0.0098,0.0555,1.8600
3,transformer.layers.1.self_attn.out_proj.weight,0.3014,-0.0048,-0.0018,1.7890
3,transformer.layers.1.self_attn.out_proj.bias,0.5845,-0.0593,-0.0655,0.8559
3,transformer.layers.1.linear1.weight,0.5885,-0.0054,0.0021,0.9216
3,transformer.layers.1.linear1.bias,0.8614,0.6288,0.5269,0.5080
3,transformer.layers.1.linear2.weight,0.2918,0.0028,-0.0014,1.6417
3,transformer.layers.1.linear2.bias,0.3764,0.0161,-0.0726,1.5633
3,transformer.layers.1.norm1.weight,0.9106,0.9040,0.9239,0.8245
3,transformer.layers.1.norm1.bias,0.4616,0.0481,0.0236,0.8922
3,transformer.layers.1.norm2.weight,0.9702,0.9118,0.9314,0.2878
3,transformer.layers.1.norm2.bias,0.8743,-0.1245,-0.0890,0.5308
3,transformer.layers.2.self_attn.in_proj_weight,0.3542,0.0009,0.0029,1.4668
3,transformer.layers.2.self_attn.in_proj_bias,0.5654,-0.0043,0.0161,1.0443
3,transformer.layers.2.self_attn.out_proj.weight,0.3827,0.0022,-0.0009,1.5873
3,transformer.layers.2.self_attn.out_proj.bias,0.5584,-0.0464,-0.1131,0.9098
3,transformer.layers.2.linear1.weight,0.5543,-0.0089,-0.0010,1.0224
3,transformer.layers.2.linear1.bias,0.8629,0.6538,0.5998,0.5365
3,transformer.layers.2.linear2.weight,0.3256,-0.0005,-0.0046,1.5436
3,transformer.layers.2.linear2.bias,0.3368,-0.0368,-0.1277,1.7929
3,transformer.layers.2.norm1.weight,0.9409,0.9305,0.9600,0.5396
3,transformer.layers.2.norm1.bias,0.6946,0.0448,0.0376,0.7288
3,transformer.layers.2.norm2.weight,0.9565,0.9354,0.9523,0.3043
3,transformer.layers.2.norm2.bias,0.9178,-0.1086,-0.0877,0.4036
3,transformer.layers.3.self_attn.in_proj_weight,0.3933,-0.0015,0.0028,1.3082
3,transformer.layers.3.self_attn.in_proj_bias,0.5047,0.0477,-0.0056,0.9431
3,transformer.layers.3.self_attn.out_proj.weight,0.3675,0.0013,0.0029,1.5526
3,transformer.layers.3.self_attn.out_proj.bias,0.5221,0.0047,-0.0272,0.8693
3,transformer.layers.3.linear1.weight,0.5184,-0.0100,0.0011,1.0726
3,transformer.layers.3.linear1.bias,0.8044,0.6114,0.6878,0.6026
3,transformer.layers.3.linear2.weight,0.4147,-0.0017,-0.0052,1.2969
3,transformer.layers.3.linear2.bias,0.4236,-0.0743,-0.1843,1.1140
3,transformer.layers.3.norm1.weight,0.9508,0.9408,0.9733,0.4837
3,transformer.layers.3.norm1.bias,0.7349,-0.0995,-0.0100,0.6872
3,transformer.layers.3.norm2.weight,0.9455,0.9117,0.9556,0.3834
3,transformer.layers.3.norm2.bias,0.8928,-0.0753,-0.0239,0.4509
3,transformer.layers.4.self_attn.in_proj_weight,0.4837,0.0021,0.0020,1.0057
3,transformer.layers.4.self_attn.in_proj_bias,0.4445,-0.0165,-0.0730,0.9429
3,transformer.layers.4.self_attn.out_proj.weight,0.3476,-0.0002,-0.0008,1.5011
3,transformer.layers.4.self_attn.out_proj.bias,0.6770,-0.0110,-0.0480,0.7364
3,transformer.layers.4.linear1.weight,0.5112,-0.0156,-0.0070,1.0609
3,transformer.layers.4.linear1.bias,0.8008,0.7938,0.7693,0.6220
3,transformer.layers.4.linear2.weight,0.3682,-0.0002,-0.0014,1.3370
3,transformer.layers.4.linear2.bias,0.4136,0.0041,-0.0922,1.6803
3,transformer.layers.4.norm1.weight,0.9720,0.9702,0.9794,0.2389
3,transformer.layers.4.norm1.bias,0.6603,-0.0017,-0.0073,0.7528
3,transformer.layers.4.norm2.weight,0.9451,0.8905,0.9465,0.3320
3,transformer.layers.4.norm2.bias,0.8631,-0.0906,-0.0581,0.5264
3,transformer.layers.5.self_attn.in_proj_weight,0.4494,-0.0017,-0.0000,1.0993
3,transformer.layers.5.self_attn.in_proj_bias,0.2347,-0.0464,-0.0276,1.8687
3,transformer.layers.5.self_attn.out_proj.weight,0.3469,-0.0006,0.0003,1.5050
3,transformer.layers.5.self_attn.out_proj.bias,0.4567,-0.0500,-0.0823,1.1300
3,transformer.layers.5.linear1.weight,0.4057,-0.0061,-0.0058,1.3050
3,transformer.layers.5.linear1.bias,0.7954,0.4143,0.4530,0.6075
3,transformer.layers.5.linear2.weight,0.2695,-0.0013,-0.0006,1.6464
3,transformer.layers.5.linear2.bias,0.5193,-0.0082,-0.0634,1.1586
3,transformer.layers.5.norm1.weight,0.9760,0.9686,0.9838,0.2605
3,transformer.layers.5.norm1.bias,0.1804,0.0260,0.0026,1.2522
3,transformer.layers.5.norm2.weight,0.9375,0.9273,0.9520,0.5174
3,transformer.layers.5.norm2.bias,0.7397,-0.0589,-0.0474,0.7314
3,final_norm.weight,0.5508,0.6412,0.5099,3.1918
3,final_norm.bias,0.5143,0.0340,0.0275,0.9266
4,transformer.layers.0.self_attn.in_proj_weight,0.2779,0.0008,0.0018,1.8861
4,transformer.layers.0.self_attn.in_proj_bias,0.1325,0.0130,0.0329,2.9543
4,transformer.layers.0.self_attn.out_proj.weight,0.2850,-0.0058,-0.0040,2.1614
4,transformer.layers.0.self_attn.out_proj.bias,0.3217,-0.0122,-0.0287,1.4240
4,transformer.layers.0.linear1.weight,0.6252,0.0069,0.0084,0.7838
4,transformer.layers.0.linear1.bias,0.7463,0.4371,0.2043,0.7158
4,transformer.layers.0.linear2.weight,0.2383,0.0008,0.0009,1.8164
4,transformer.layers.0.linear2.bias,0.0941,-0.0121,-0.0857,2.4760
4,transformer.layers.0.norm1.weight,0.9304,0.9369,0.9389,0.7214
4,transformer.layers.0.norm1.bias,0.8690,-0.0676,-0.0597,0.4963
4,transformer.layers.0.norm2.weight,0.9551,0.9104,0.8975,0.4810
4,transformer.layers.0.norm2.bias,0.7385,-0.0125,-0.0855,0.8290
4,transformer.layers.1.self_attn.in_proj_weight,0.3614,-0.0039,-0.0009,1.4291
4,transformer.layers.1.self_attn.in_proj_bias,0.4807,-0.0264,-0.0264,2.1736
4,transformer.layers.1.self_attn.out_proj.weight,0.3743,0.0024,-0.0015,1.5944
4,transformer.layers.1.self_attn.out_proj.bias,0.6207,0.0154,-0.0020,0.7973
4,transformer.layers.1.linear1.weight,0.5931,0.0146,0.0076,0.8615
4,transformer.layers.1.linear1.bias,0.7864,0.5811,0.4674,0.6516
4,transformer.layers.1.linear2.weight,0.3050,-0.0011,-0.0007,1.5239
4,transformer.layers.1.linear2.bias,0.1771,-0.0156,-0.0412,1.9011
4,transformer.layers.1.norm1.weight,0.9052,0.9032,0.9096,0.7480
4,transformer.layers.1.norm1.bias,0.8408,-0.1729,-0.2178,0.5550
4,transformer.layers.1.norm2.weight,0.9505,0.9110,0.9336,0.3668
4,transformer.layers.1.norm2.bias,0.9368,0.0612,0.0607,0.6079
4,transformer.layers.2.self_attn.in_proj_weight,0.3589,0.0042,0.0020,1.4701
4,transformer.layers.2.self_attn.in_proj_bias,0.3882,-0.0324,-0.1069,1.2955
4,transformer.layers.2.self_attn.out_proj.weight,0.3533,0.0033,-0.0019,1.6451
4,transformer.layers.2.self_attn.out_proj.bias,0.3889,-0.0162,0.0273,1.0559
4,transformer.layers.2.linear1.weight,0.5739,0.0177,0.0036,0.9525
4,transformer.layers.2.linear1.bias,0.8167,0.6323,0.6243,0.5773
4,transformer.layers.2.linear2.weight,0.3229,0.0010,-0.0012,1.4925
4,transformer.layers.2.linear2.bias,0.1213,0.0189,0.0043,1.8411
4,transformer.layers.2.norm1.weight,0.9308,0.9332,0.9700,0.6371
4,transformer.layers.2.norm1.bias,0.7347,-0.0106,-0.0018,0.6870
4,transformer.layers.2.norm2.weight,0.9521,0.9329,0.9500,0.3058
4,transformer.layers.2.norm2.bias,0.9297,0.1580,0.1479,0.4620
4,transformer.layers.3.self_attn.in_proj_weight,0.4133,-0.0017,-0.0053,1.2322
4,transformer.layers.3.self_attn.in_proj_bias,0.4288,0.0106,0.1309,1.0702
4,transformer.layers.3.self_attn.out_proj.weight,0.4469,0.0014,-0.0113,1.3425
4,transformer.layers.3.self_attn.out_proj.bias,0.5150,-0.0507,-0.0348,0.8953
4,transformer.layers.3.linear1.weight,0.5790,0.0131,0.0115,0.9919
4,transformer.layers.3.linear1.bias,0.7834,0.5939,0.6074,0.6269
4,transformer.layers.3.linear2.weight,0.3753,-0.0008,-0.0023,1.3364
4,transformer.layers.3.linear2.bias,0.1878,-0.0094,-0.0468,1.3448
4,transformer.layers.3.norm1.weight,0.9499,0.9432,0.9726,0.3997
4,transformer.layers.3.norm1.bias,0.7181,0.0068,-0.0313,0.7018
4,transformer.layers.3.norm2.weight,0.9421,0.9118,0.9434,0.3495
