param,cos_A_pre,cos_B_pre,cos_A_B,relL2_A_pre
transformer.layers.4.linear1.weight,0.5681,0.0065,0.0069,0.8991
transformer.layers.4.linear1.bias,0.9029,0.8089,0.8122,0.4461
transformer.layers.4.linear2.weight,0.4558,-0.0007,-0.0004,1.0849
transformer.layers.4.linear2.bias,0.0154,0.0007,0.0835,1.9312
transformer.layers.4.norm1.weight,0.9908,0.9821,0.9857,0.3054
transformer.layers.4.norm1.bias,0.4450,0.0939,-0.0060,1.0541
transformer.layers.4.norm2.weight,0.9876,0.9796,0.9790,0.3662
transformer.layers.4.norm2.bias,0.9752,0.0445,0.0657,0.4105
transformer.layers.5.self_attn.in_proj_weight,0.5640,0.0021,0.0025,0.8758
transformer.layers.5.self_attn.in_proj_bias,0.7640,-0.0176,-0.0553,0.7028
transformer.layers.5.self_attn.out_proj.weight,0.4496,-0.0050,-0.0058,1.1711
transformer.layers.5.self_attn.out_proj.bias,0.5731,0.0309,0.0574,0.8323
transformer.layers.5.linear1.weight,0.4816,0.0096,0.0046,1.0448
transformer.layers.5.linear1.bias,0.7737,0.5553,0.5308,0.6463
transformer.layers.5.linear2.weight,0.4618,-0.0031,0.0003,0.9807
transformer.layers.5.linear2.bias,0.6858,-0.0422,-0.0686,0.7489
transformer.layers.5.norm1.weight,0.9941,0.9924,0.9903,0.3394
transformer.layers.5.norm1.bias,0.5404,0.0277,0.0610,0.8440
transformer.layers.5.norm2.weight,0.9873,0.9748,0.9812,0.3282
transformer.layers.5.norm2.bias,0.9741,0.0237,0.0188,0.5613
final_norm.weight,0.7973,0.8403,0.7559,1.6994
final_norm.bias,0.5681,0.0832,0.0959,0.8489
